id,Mean,Standard Deviation,Paragraph Number
b1a,46.989999999999995,7.782939675983621,5
b1h,57.80238095238095,13.12672042239108,19
b2a,44.082857142857144,17.543864753132087,7
b2h,45.25142857142857,11.430226363693535,14
b3a,53.278571428571425,8.415740071579025,6
b3h,63.396,27.763417296867473,15
b4a,48.46625,13.160096544912903,8
b4h,59.3608,14.264645082627657,22
b5a,60.66153846153846,10.60040867620509,13
b5h,66.55176470588236,7.658516693275302,17
e1a,58.76833333333334,9.186983001326752,6
e1h,77.494,14.116409954375797,5
e2a,45.158,6.156404795008203,5
e2h,53.512,8.111141719881362,5
e3a,40.39333333333334,12.860380502406088,6
e3h,51.9875,13.072896580329854,4
e4a,48.21,8.920400775749933,5
e4h,56.28666666666667,14.122784191983293,3
e5a,46.456,9.725095372282988,5
e5h,65.0925,17.574188222124704,4
n1a,50.24666666666667,7.957282618247681,6
n1h,53.080666666666666,13.50988710255602,15
n2a,54.14142857142857,9.760458371359801,7
n2h,66.4368,12.133892862556518,24
n3a,58.05142857142857,9.156597673392719,7
n3h,59.064,22.74489229946552,15
n4a,63.51888888888888,12.007007791748578,9
n4h,65.29172413793104,19.94713066887522,27
n5a,58.458333333333336,4.908867146976645,6
n5h,55.77461538461539,15.63366112772086,13
